level,code,name,parent_code,full_code
2,840,남해군,48,48840
2,850,하동군,48,48850
2,860,산청군,48,48860
2,870,함양군,48,48870
2,880,거창군,48,48880
2,890,합천군,48,48890
1,50,제주특별자치도,,50
2,110,제주시,50,50110
2,130,서귀포시,50,50130
1,51,강원특별자치도,,51
2,110,춘천시,51,51110
2,130,원주시,51,51130
2,150,강릉시,51,51150
2,170,동해시,51,51170
2,190,태백시,51,51190
2,210,속초시,51,51210
2,230,삼척시,51,51230
2,720,홍천군,51,51720
2,730,횡성군,51,51730
2,750,영월군,51,51750
2,760,평창군,51,51760
2,770,정선군,51,51770
2,780,철원군,51,51780
2,790,화천군,51,51790
2,800,양구군,51,51800
2,810,인제군,51,51810
2,820,고성군,51,51820
2,830,양양군,51,51830
1,52,전북특별자치도,,52
2,110,전주시,52,52110
2,111,전주시 완산구,52,52111
2,113,전주시 덕진구,52,52113
2,130,군산시,52,52130
2,140,익산시,52,52140
2,180,정읍시,52,52180
2,190,남원시,52,52190
2,210,김제시,52,52210
2,710,완주군,52,52710
2,720,진안군,52,52720
2,730,무주군,52,52730
2,740,장수군,52,52740
2,750,임실군,52,52750
2,770,순창군,52,52770
2,790,고창군,52,52790
2,800,부안군,52,52800
1,36110,세종특별자치시,,36110
2,36110,세종특별자치시,36110,3611036110
3,,,11110,11110
3,,,11140,11140
3,,,11170,11170
3,,,11200,11200
3,,,11215,11215
3,,,11230,11230
3,,,11260,11260
3,,,11290,11290
3,,,11305,11305
3,,,11320,11320
3,,,11350,11350
3,,,11380,11380
3,,,11410,11410
3,,,11440,11440
3,,,11470,11470
3,,,11500,11500
3,,,11530,11530
3,,,11545,11545
3,,,11560,11560
3,,,11590,11590
3,,,11620,11620
3,,,11650,11650
3,,,11680,11680
3,,,11710,11710
3,,,11740,11740
3,,,26110,26110
3,,,26140,26140
3,,,26170,26170
3,,,26200,26200
3,,,26230,26230
3,,,26260,26260
3,,,26290,26290
3,,,26320,26320
3,,,26350,26350
3,,,26380,26380
3,,,26410,26410
3,,,26440,26440
3,,,26470,26470
3,,,26500,26500
3,,,26530,26530
3,,,26710,26710
3,,,27110,27110
3,,,27140,27140
3,,,27170,27170
3,,,27200,27200
3,,,27230,27230
3,,,27260,27260
3,,,27290,27290
3,,,27710,27710
3,,,27720,27720
3,,,28110,28110
3,,,28140,28140
3,,,28177,28177
3,,,28185,28185
3,,,28200,28200
3,,,28237,28237
3,,,28245,28245
3,,,28260,28260
3,,,28710,28710
3,,,28720,28720
3,,,29110,29110
3,,,29140,29140
3,,,29155,29155
3,,,29170,29170
3,,,29200,29200
3,,,30110,30110
3,,,30140,30140
3,,,30170,30170
3,,,30200,30200
3,,,30230,30230
3,,,31110,31110
3,,,31140,31140
3,,,31170,31170
3,,,31200,31200
3,,,31710,31710
3,,,3611036110,3611036110
3,,,41110,41110
3,,,41111,41111
3,,,41113,41113
3,,,41115,41115
3,,,41117,41117
3,,,41130,41130
3,,,41131,41131
3,,,41133,41133
3,,,41135,41135
3,,,41150,41150
3,,,41170,41170
3,,,41171,41171
3,,,41173,41173
3,,,41190,41190
3,,,41192,41192
3,,,41194,41194
3,,,41196,41196
3,,,41210,41210
3,,,41220,41220
3,,,41250,41250
3,,,41270,41270
3,,,41271,41271
3,,,41273,41273
3,,,41280,41280
3,,,41281,41281
3,,,41285,41285
3,,,41287,41287
3,,,41290,41290
3,,,41310,41310
3,,,41360,41360
3,,,41370,41370
3,,,41390,41390
3,,,41410,41410
3,,,41430,41430
3,,,41450,41450
3,,,41460,41460
3,,,41461,41461
3,,,41463,41463
3,,,41465,41465
3,,,41480,41480
3,,,41500,41500
3,,,41550,41550
3,,,41570,41570
3,,,41590,41590
3,,,41610,41610
3,,,41630,41630
3,,,41650,41650
3,,,41670,41670
3,,,41800,41800
3,,,41820,41820
3,,,41830,41830
3,,,43110,43110
3,,,43111,43111
3,,,43112,43112
3,,,43113,43113
3,,,43114,43114
3,,,43130,43130
3,,,43150,43150
3,,,43720,43720
3,,,43730,43730
3,,,43740,43740
3,,,43745,43745
3,,,43750,43750
3,,,43760,43760
3,,,43770,43770
3,,,43800,43800
3,,,44130,44130
3,,,44131,44131
3,,,44133,44133
3,,,44150,44150
3,,,44180,44180
3,,,44200,44200
3,,,44210,44210
3,,,44230,44230
3,,,44250,44250
3,,,44270,44270
3,,,44710,44710
3,,,44760,44760
3,,,44770,44770
3,,,44790,44790
3,,,44800,44800
3,,,44810,44810
3,,,44825,44825
3,,,46110,46110
3,,,46130,46130
3,,,46150,46150
3,,,46170,46170
3,,,46230,46230
3,,,46710,46710
3,,,46720,46720
3,,,46730,46730
3,,,46770,46770
3,,,46780,46780
3,,,46790,46790
3,,,46800,46800
3,,,46810,46810
3,,,46820,46820
3,,,46830,46830
3,,,46840,46840
3,,,46860,46860
